ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10342577,HY498912,11/12/2015 01:06:00 PM,056XX S LAFLIN ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,true,false,0713,007,16,67,18,,,2015,07/16/2016 03:45:53 PM,,,
11643819,JC209945,05/03/2016 10:10:00 AM,029XX W LEXINGTON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1135,011,28,27,11,,,2016,04/04/2019 04:16:11 PM,,,
2384746,HH695320,10/06/2002 01:00:00 AM,058XX S FAIRFIELD AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,0824,008,16,63,26,,,2002,08/17/2015 03:03:40 PM,,,
3377585,HK427770,06/12/2004 11:00:00 PM,012XX W GREENLEAF AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,GOVERNMENT BUILDING/PROPERTY,false,false,2423,024,49,1,26,,,2004,08/17/2015 03:03:40 PM,,,
4796277,HM410867,07/26/2005 11:00:00 AM,012XX W DIVISION ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,1433,014,32,24,07,,,2005,08/17/2015 03:03:40 PM,,,
6273223,HP362420,05/29/2008 12:00:00 AM,015XX E 76TH ST,0560,ASSAULT,SIMPLE,STREET,false,false,0411,004,5,43,08A,,,2008,08/17/2015 03:03:40 PM,,,
2052150,HH264876,03/25/2002 04:00:00 PM,063XX S KING DR,0810,THEFT,OVER $500,DRUG STORE,true,false,0312,003,,,06,,,2002,02/04/2016 06:33:39 AM,,,
1478974,G209758,04/12/2001 02:00:00 AM,033XX S STEWART AV,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0924,009,,,14,,,2001,08/17/2015 03:03:40 PM,,,
1701640,G497002,08/11/2001 02:30:00 AM,004XX W HUBBARD ST,0820,THEFT,$500 AND UNDER,TAVERN/LIQUOR STORE,false,false,1831,018,,,06,,,2001,08/17/2015 03:03:40 PM,,,
2278871,HH493971,07/07/2002 08:00:00 PM,006XX S FRANCISCO AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1135,011,2,27,18,,,2002,08/17/2015 03:03:40 PM,,,
